epoch,learning_rate,train_mse,train_rmse,train_relative_l2,train_seconds,validation_mse,validation_rmse,validation_relative_l2,validation_seconds
1,0.0009999901600367843,3.6419751984312625,1.9083959752711863,1.0001723658647834,5.868683956563473,,,,
2,0.0009999606405356025,3.6408713243435007,1.9081067381945647,1.000020780908042,5.100969178602099,,,,
3,0.0009999114426618334,3.6407611986963575,1.9080778806684904,1.00000565491574,5.216499708592892,,,,
4,0.0009998425683577252,3.6407669750343064,1.908079394321501,1.0000064490369025,5.174050409346819,,,,
5,0.0009997540203423175,3.640882880917852,1.90810976647515,1.0000223664219392,5.308328418061137,,,,
6,0.0009996458021113341,3.595670760822106,1.8962253982114325,0.9937938807566303,5.244514641351998,,,,
7,0.0009995179179370457,1.864127686131643,1.3653306142219337,0.715556922290912,5.20045409258455,,,,
8,0.0009993703728681002,0.7677015440881847,0.8761857931330459,0.4592007255872941,5.129029447212815,,,,
9,0.0009992031727293245,0.002218884152185893,0.04710503319376703,0.024687304495870678,5.208217980340123,,,,
10,0.0009990163241214937,0.0010968859518835407,0.03311926858919956,0.017357496891309117,5.258232086896896,,,,
11,0.000998809834421071,0.000808441191352532,0.028433100276834603,0.014901520215123941,5.295740162953734,,,,
12,0.0009985837117799162,0.0005784541771797363,0.02405107434564486,0.012604941653239379,5.285743899643421,,,,
13,0.000998337965124964,0.015346681865817773,0.12388172531014319,0.06492524609469646,5.442336832173169,,,,
14,0.0009980726041578718,0.0004803301967546611,0.021916436680141715,0.011486198135133133,5.2751096822321415,,,,
15,0.0009977876393546356,0.00039032828348601413,0.019756727550027463,0.01035431492836697,5.584386381320655,,,,
16,0.0009974830819651783,0.0021305926701503837,0.046158343451107336,0.02419115327604676,5.284878436475992,,,,
17,0.000997158944012904,0.0003399206062990748,0.0184369359249056,0.009662624557145,4.577558177523315,,,,
18,0.0009968152382942243,0.0003820552781908336,0.019546234373680103,0.010243997444903084,5.231561842374504,,,,
19,0.0009964519783780522,0.02510017711566594,0.15843035414864773,0.0830318571177278,5.14878492988646,,,,
20,0.0009960691786052673,0.00027853168541799763,0.016689268570491567,0.008746688536193422,5.232740030623972,0.00017401104618213373,0.013191324656081123,0.006977446251644455,0.44672663789242506
21,0.000995666854088149,0.00023980756110535888,0.015485721200685452,0.008115920693333927,5.12044620513916,,,,
22,0.0009952450207097805,0.00027687127615163426,0.016639449394485212,0.008720578793281515,5.324415046721697,,,,
23,0.0009948036951234213,0.023198522842453863,0.15231061303288704,0.07982455852454574,5.1378444423899055,,,,
24,0.00099434289475185,0.0002701734765204127,0.016436954599937686,0.008614453173710337,5.3211735328659415,,,,
25,0.000993862637786676,0.00025015293610786013,0.01581622382580179,0.008289134024555443,5.294982981868088,,,,
26,0.000993362943187622,0.008758635012165991,0.09358757936909144,0.049048369280126736,5.102523475885391,,,,
27,0.0009928438306817753,0.003291450068015538,0.057371160594984816,0.030067685179993277,5.3479502610862255,,,,
28,0.0009923053207628086,0.00022076257322124854,0.014858081074662655,0.007786980426490463,5.095694022253156,,,,
29,0.0009917474346901715,0.0002241683310139441,0.014972252035480305,0.00784681634958978,5.444876739755273,,,,
30,0.000991170194488251,0.0003398651826524449,0.018435432803502197,0.009661836786919389,5.4704990312457085,,,,
31,0.0009905736229455016,0.009725705901008404,0.09861899361182107,0.051685286216813155,5.337227492593229,,,,
32,0.0009899577436135467,0.00024319680219519877,0.015594768423904178,0.008173071324072217,5.244788344018161,,,,
33,0.0009893225808062474,0.00019330318792613443,0.013903351679581956,0.007286615727224481,5.357556927017868,,,,
34,0.0009886681595987442,0.00023303485292636467,0.015265479125345678,0.008000493910932263,5.248214414343238,,,,
35,0.0009879945058264654,0.0021535049390055223,0.04640587181602693,0.024320880562562874,5.237011625431478,,,,
36,0.0009873016460841086,0.00023603116696228286,0.015363305860467755,0.008051763977194554,4.550786622799933,,,,
37,0.00098658960772459,0.0002223009748730117,0.014909761060225334,0.007814065415001898,5.156158672645688,,,,
38,0.0009858584188579649,0.0007844309341169879,0.02800769419493486,0.014678568891149763,5.033597300760448,,,,
39,0.0009851081083503176,0.00022838060234835048,0.015112266618490772,0.007920196668361133,5.33090525213629,,,,
40,0.0009843387058226225,0.0001963819516989999,0.014013634492843029,0.007344413918318495,5.22927488014102,0.00020620604986678102,0.014359876387587081,0.007595542395240631,0.3154164291918278
41,0.0009835502416495738,0.004077218656685062,0.06385310216962886,0.033464809748602706,5.239255764521658,,,,
42,0.0009827427469583868,0.00019445896074919407,0.013944854274935758,0.007308366855150997,5.146115058101714,,,,
43,0.0009819162536275697,0.0005595206633775296,0.02365418912957131,0.012396937848345611,5.279495337978005,,,,
44,0.0009810707942856636,0.00022207431468421115,0.014902158054597702,0.007810080759688168,5.079586051404476,,,,
45,0.000980206402309956,0.00020323661047065567,0.014256107830353124,0.007471491921150084,5.379460150375962,,,,
46,0.0009793231118251618,0.016249683144908704,0.12747424502584317,0.06680805177067646,5.1832465985789895,,,,
47,0.0009784209577020772,0.0001970349880749594,0.01403691519084444,0.007356615122043821,5.199057480320334,,,,
48,0.0009774999755562017,0.00021140108737284076,0.014539638488382054,0.0076200876679051914,5.245265311561525,,,,
49,0.0009765602017463338,0.001648158301766999,0.0405975159556222,0.02127677592806795,5.120887303724885,,,,
50,0.0009756016733731344,0.00018323619955790019,0.013536476630124259,0.007094339960968343,5.206322864629328,,,,
51,0.000974624428277662,0.00017738816438320868,0.013318714817249023,0.006980213063485726,5.161297744140029,,,,
52,0.0009736285050398801,0.00020387643702372818,0.014278530632517066,0.007483243497493178,5.1450171787291765,,,,
53,0.0009726139429771328,0.0015351245127335756,0.03918066503689767,0.020534217720661573,5.253372339531779,,,,
54,0.0009715807821425931,0.0001798689616951876,0.013411523466600937,0.007028853203357466,5.251160171814263,,,,
55,0.0009705290633236816,0.00018061916443878068,0.013439462952022327,0.007043496023535253,4.611040866933763,,,,
56,0.0009694588280404565,0.00018381659106580083,0.013557897737695208,0.007105566581366637,5.318597470410168,,,,
57,0.0009683701185439742,0.003027217613966641,0.05502015643349845,0.028835546075908026,5.312807386741042,,,,
58,0.0009672629778146214,0.00016828374202379923,0.01297242236530245,0.006798724451155854,5.27910628169775,,,,
59,0.0009661374495604182,0.0001632938843406365,0.012778649550740349,0.0066971699399958114,5.311572659760714,,,,
60,0.0009649935782152935,0.0038512986072582636,0.06205883182318423,0.03252444954043367,5.227801193483174,0.00025092569558682315,0.01584063431769142,0.00837877752426434,0.30462092347443104
61,0.0009638314089373288,0.00017592808222342395,0.01326378838128172,0.006951426625940384,5.3410653388127685,,,,
62,0.0009626509876069774,0.0002670389014030407,0.016341324958614605,0.008564334587860444,5.3192255310714245,,,,
63,0.0009614523608252524,0.00015720513200688505,0.012538147072310367,0.006571124854450287,5.493384143337607,,,,
64,0.0009602355759118866,0.000524333982880482,0.02289834017741203,0.012000804551338796,5.4943208964541554,,,,
65,0.0009590006809034648,0.00015761056496592577,0.012554304638884854,0.006579592877006345,5.311505469493568,,,,
66,0.0009577477245515276,0.0001669693740839492,0.012921662976720497,0.0067721219292328,5.227251740172505,,,,
67,0.0009564767563206465,0.006962153971403421,0.08343952283782201,0.043729868473837426,5.356227797456086,,,,
