epoch,learning_rate,train_mse,train_rmse,train_relative_l2,train_seconds,validation_mse,validation_rmse,validation_relative_l2,validation_seconds
1,0.00013999788729866807,3.6386323353293415,1.9075199436255814,1.0002337135916608,15.556936264038086,,,,
2,0.00013999154932499373,3.636801596806387,1.9070400092306368,0.9999821633041691,15.69100877828896,,,,
3,0.00013998098646993303,3.6362686626746505,1.9069002760172464,0.9999088374314575,15.457793038338423,,,,
4,0.0001399661993850526,3.6360107784431137,1.9068326561193338,0.9998734349021404,15.242329681292176,,,,
5,0.0001399471889824895,3.6357017964071856,1.9067516346937232,0.9998310050966598,15.700473787263036,,,,
6,0.00013992395643489493,3.6356399201596807,1.9067354090590758,0.9998223872218955,15.568778378888965,,,,
7,0.0001398965031753618,3.6356419161676645,1.9067359324688,0.9998227165507502,16.138424104079604,,,,
8,0.00013986483089733655,3.6350998003992014,1.9065937691074104,0.9997481712737885,15.539341561496258,,,,
9,0.00013982894155451447,3.634691417165669,1.9064866684993287,0.9996920116246765,15.71696493215859,,,,
