epoch,learning_rate,train_mse,train_rmse,train_relative_l2,train_seconds,validation_mse,validation_rmse,validation_relative_l2,validation_seconds
1,0.1,3.6371285429141715,1.9071257281349259,1.00002722093466,1.3198104910552502,,,,
2,0.1,3.637116167664671,1.9071224836555913,1.0000254647648918,1.2191570438444614,,,,
3,0.1,3.637105788423154,1.9071197624751188,1.0000239829941397,1.2502145748585463,,,,
4,0.1,3.63709500998004,1.9071169366297496,1.0000223365753684,1.2039767298847437,,,,
5,0.1,3.6370834331337325,1.907113901457837,1.0000209645734404,1.2673466317355633,,,,
6,0.1,3.637072654690619,1.9071110756037832,1.0000193730332172,1.194710185751319,,,,
7,0.1,3.6370634730538924,1.9071086683914718,1.0000181107790267,1.2764437347650528,,,,
8,0.1,3.637053493013972,1.9071060518529042,1.0000167387617953,1.2202825117856264,,,,
9,0.1,3.6370443113772457,1.9071036446342515,1.0000155313867796,1.2677412498742342,,,,
10,0.1,3.6370343313373255,1.9071010280887915,1.0000141044834345,1.3227664064615965,3.5759603293413176,1.8910209753837521,1.0000122102792903,0.2037417460232973
11,0.1,3.6370259481037923,1.9070988301878307,1.0000130068668305,1.2312320414930582,,,,
12,0.1,3.6370175648702596,1.907096632284337,1.0000119092487807,1.2319865357130766,,,,
13,0.1,3.637008383233533,1.9070942250537946,1.0000106469848922,1.225092450156808,,,,
14,0.1,3.6370011976047905,1.9070923411321201,1.0000095493607282,1.238849377259612,,,,
15,0.1,3.636992015968064,1.907089933896161,1.000008287094138,1.233983438462019,,,,
16,0.1,3.636985229540918,1.907088154632847,1.0000073541134602,1.2335455510765314,,,,
17,0.1,3.636977644710579,1.907086166042473,1.0000063662513163,1.2386394161731005,,,,
18,0.1,3.636970858283433,1.9070843867756437,1.000005378386799,1.2139932122081518,,,,
19,0.1,3.636963672654691,1.9070825028442506,1.0000044454038957,1.2838391065597534,,,,
20,0.1,3.636956487025948,1.9070806189109961,1.0000033477744064,1.2694309242069721,3.5758814870259483,1.8910001287747042,1.0000011861479547,0.1584990732371807
21,0.1,3.6369497005988025,1.9070788396389915,1.0000024696709995,1.2448973134160042,,,,
22,0.1,3.63694251497006,1.9070769557021185,1.000001536685063,1.2035465054214,,,,
23,0.1,3.6369365269461076,1.9070753857533025,1.0000006585795296,1.210373230278492,,,,
24,0.1,3.636929740518962,1.9070736064764156,0.9999999451183288,1.2321066707372665,,,,
25,0.1,3.6369245508982035,1.9070722458517935,0.9999990670114882,1.2193366792052984,,,,
26,0.1,3.6369181636726546,1.9070705712355416,0.9999981889038585,1.2380437143146992,,,,
27,0.1,3.636913373253493,1.9070693152723874,0.9999976400856803,1.2327553369104862,,,,
28,0.1,3.6369077844311377,1.9070678499809957,0.9999968168587939,1.2682716622948647,,,,
29,0.1,3.6369021956087826,1.9070663846884781,0.9999960485128468,1.261792104691267,,,,
30,0.1,3.636896606786427,1.9070649193948346,0.9999952252849154,1.278503281995654,3.5758218562874253,1.8909843617247144,0.9999928481957506,0.14556747674942017
31,0.1,3.6368922155688623,1.9070637680918965,0.9999945667023316,1.2959092296659946,,,,
32,0.1,3.636887025948104,1.9070624074602551,0.9999940178807738,1.2446555625647306,,,,
33,0.1,3.636882235528942,1.9070611514917244,0.9999931946527971,1.260228345170617,,,,
34,0.1,3.6368778443113774,1.9070600001865115,0.9999925909504056,1.2184580340981483,,,,
35,0.1,3.6368730538922156,1.9070587442163955,0.9999919872467701,1.2414141688495874,,,,
36,0.1,3.6368694610778443,1.9070578022382658,0.9999914933078262,1.2626065872609615,,,,
37,0.1,3.6368646706586825,1.9070565462667022,0.9999908896033414,1.2224776819348335,,,,
38,0.1,3.636859880239521,1.9070552902943116,0.9999902310172335,1.2251444328576326,,,,
39,0.1,3.6368562874251498,1.9070543483144757,0.9999896821962782,1.2460978757590055,,,,
40,0.1,3.636853093812375,1.9070535109986755,0.9999890784952962,1.2080237567424774,3.5757769461077844,1.8909724868722402,0.9999865685205783,0.14342614822089672
41,0.1,3.6368487025948104,1.9070523596888498,0.9999886394335958,1.2372279167175293,,,,
42,0.1,3.636845109780439,1.9070514177075664,0.9999883101360418,1.2254908289760351,,,,
43,0.1,3.636841117764471,1.9070503710611504,0.9999876515508015,1.2182628102600574,,,,
44,0.1,3.636837924151697,1.9070495337436038,0.9999869929682719,1.2176589984446764,,,,
45,0.1,3.636833133732535,1.9070482777665947,0.9999863892607749,1.2182710245251656,,,,
46,0.1,3.636831137724551,1.9070477544425968,0.9999862794914778,1.2206892594695091,,,,
47,0.1,3.6368283433133732,1.9070470217887585,0.9999858404336508,1.202098697423935,,,,
48,0.1,3.636824750499002,1.9070460798048383,0.9999852916108279,1.2057356424629688,,,,
49,0.1,3.6368211576846305,1.907045137820453,0.9999848525494468,1.207603557035327,,,,
50,0.1,3.6368179640718563,1.9070443005006088,0.9999844134894873,1.2036908473819494,3.5757432634730537,1.8909635806839469,0.9999818587383198,0.14956761337816715
51,0.1,3.6368147704590816,1.9070434631803967,0.9999840293101115,1.1721571553498507,,,,
52,0.1,3.636812774451098,1.907042939855078,0.9999837000166419,1.266213770955801,,,,
53,0.1,3.63680878243513,1.9070418932040087,0.9999832060717613,1.2000161278992891,,,,
54,0.1,3.636806387225549,1.9070412652130915,0.9999828767762314,1.2044249717146158,,,,
55,0.1,3.6368035928143714,1.90704053255676,0.9999824925979761,1.1749397702515125,,,,
56,0.1,3.6368011976047905,1.907039904565395,0.9999821633022112,1.2373151276260614,,,,
57,0.1,3.6367992015968063,1.907039381239099,0.9999817791276819,1.238956805318594,,,,
58,0.1,3.636796007984032,1.9070385439167274,0.9999813949470472,1.1732040327042341,,,,
59,0.1,3.636794411177645,1.9070381252554036,0.9999811754163325,1.2218811362981796,,,,
60,0.010000000000000002,3.6367912175648702,1.9070372879324804,0.9999806265935878,1.1709762960672379,3.5757165668662676,1.8909565216752784,0.9999781257840306,0.1470194961875677
61,0.010000000000000002,3.6367912175648702,1.9070372879324804,0.9999808461159652,1.2091103661805391,,,,
62,0.010000000000000002,3.6367904191616764,1.9070370786016921,0.9999806814699276,1.2042896319180727,,,,
63,0.010000000000000002,3.636789620758483,1.907036869270881,0.9999805168238991,1.2384287547320127,,,,
64,0.010000000000000002,3.6367904191616764,1.9070370786016921,0.9999806814699276,1.4005348552018404,,,,
65,0.010000000000000002,3.6367892215568864,1.9070367646054667,0.999980407060602,1.214757202193141,,,,
66,0.010000000000000002,3.6367888223552893,1.9070366599400468,0.9999803521778796,1.2111129015684128,,,,
67,0.010000000000000002,3.6367884231536927,1.9070365552746211,0.9999802972951543,1.192869072780013,,,,
