epoch,learning_rate,train_mse,train_rmse,train_relative_l2,train_seconds,validation_mse,validation_rmse,validation_relative_l2,validation_seconds
1,0.0028299564043309106,0.0029237655548278443,0.05407185547794568,20.27927464955885,15.308700930327177,,,,
2,0.0028298256200128273,8.88491952252721e-06,0.002980758212691397,1.117912649526486,15.762367578223348,,,,
3,0.002829607655113144,9.984128727408464e-06,0.003159767195128221,1.1850487241644554,15.312431007623672,,,,
4,0.0028293025230769616,7.25223975267239e-06,0.0026929982830801043,1.0099902880381808,15.266886660829186,,,,
5,0.002828910242726262,7.177441991017964e-06,0.002679074838637018,1.0047685045859975,15.693667823448777,,,,
6,0.002828430838258745,7.218055953522642e-06,0.002686643994563225,1.007607156296225,15.701723052188754,,,,
7,0.0028278643392463353,7.633758971315183e-06,0.002762925799096889,1.0362161723688343,15.581203807145357,,,,
8,0.0028272107806333615,7.612460625623753e-06,0.002759068796826885,1.0347695195760211,15.102350234985352,,,,
9,0.0028264702027343976,7.3683253305400915e-06,0.0027144659383643204,1.01804174648541,15.512140538543463,,,,
10,0.002825642651231776,7.591870397388816e-06,0.0027553348975013574,1.0333693126708305,15.485655207186937,,,,
11,0.002824728177172772,7.204422788943597e-06,0.002684105584537165,1.0066551971652788,15.515429366379976,,,,
12,0.002823726836966453,7.3185385820156564e-06,0.002705279760397371,1.0145963707420336,15.562596032395959,,,,
13,0.0028226386923802,7.738012896326488e-06,0.002781728400891519,1.043267846126889,15.839499164372683,,,,
14,0.0028214638105358964,7.272851300572683e-06,0.0026968224451329164,1.0114245134357578,15.583050720393658,,,,
15,0.0028202022639057882,7.228745481449211e-06,0.002688632641594833,1.0083529845430828,15.897446807473898,,,,
16,0.0028188541303080144,7.427389940577829e-06,0.0027253238230672385,1.0221137571275312,15.502975614741445,,,,
17,0.002817419492901805,7.244252492329793e-06,0.0026915149065776683,1.0094339579913414,15.439932825043797,,,,
18,0.002815898440182354,8.620696534177738e-06,0.0029361022690256784,1.1011646892748341,15.631423376500607,,,,
19,0.002814291065975357,7.807069576666978e-06,0.0027941133793507695,1.0479128020810091,15.576929381117225,,,,
20,0.002812597469431227,7.14688177356225e-06,0.002673365252553839,1.0026270564012094,15.830256640911102,7.075643349074556e-06,0.0026600081483098047,1.0007530839368763,0.7032091952860355
21,0.0028108177550189763,7.165649931825802e-06,0.0026768731631935426,1.003942673904446,17.065994078293443,,,,
22,0.002808952032519773,7.630663812755348e-06,0.002762365618949698,1.036005969731985,15.659060740843415,,,,
23,0.002807000417020169,7.243006814739662e-06,0.002691283488363807,1.009347220248673,15.650174394249916,,,,
24,0.0028049630289050014,7.213680853624782e-06,0.002685829639724899,1.007301738174389,15.680890349671245,,,,
25,0.002802839993849966,7.206162625920035e-06,0.0026844296649232656,1.006776741268032,15.83189876563847,,,,
26,0.002800631442813866,7.2267855950696265e-06,0.0026882681404706687,1.0082162809299768,15.79698713682592,,,,
27,0.002798337512030532,7.485291106020381e-06,0.002735926005216585,1.0260901966903653,15.629193315282464,,,,
28,0.0027959583430004196,7.2175503728870384e-06,0.002686549901432512,1.0075718673215575,15.346061665564775,,,,
29,0.0027934940824818825,7.306851598317038e-06,0.002703118864999658,1.0137859962303348,15.69328054971993,,,,
30,0.002790944882482116,7.224294239889362e-06,0.0026878047250292127,1.0080425341697603,15.976575341075659,,,,
31,0.002788310900247785,7.582697611369058e-06,0.0027536698442930767,1.0327447906684788,15.726143572479486,,,,
32,0.0027855922982553205,7.405624085081789e-06,0.0027213276328075216,1.0206150683999837,15.793318375945091,,,,
33,0.002782789244200899,7.197890595761602e-06,0.0026828884799338197,1.0061988382816955,15.996504066511989,,,,
34,0.002779901910990098,7.191308149082694e-06,0.002681661453107512,1.0057384887550553,15.545349527150393,,,,
35,0.0027769304767272305,7.537139770751466e-06,0.002745385177120228,1.0296376285260829,15.379392936825752,,,,
