epoch,learning_rate,train_mse,train_rmse,train_relative_l2,train_seconds,validation_mse,validation_rmse,validation_relative_l2,validation_seconds
1,0.1,3.63703872255489,1.9071021793692362,1.0000147630552958,1.2507633119821548,,,,
2,0.1,3.637029141716567,1.9070996674837335,1.000013391031851,1.2235278692096472,,,,
3,0.1,3.637020758483034,1.9070974695812046,1.0000122934143854,1.2194739934056997,,,,
4,0.1,3.637012375249501,1.907095271676143,1.0000111409132066,1.1714668422937393,,,,
5,0.1,3.6370043912175647,1.9070931784308718,1.0000100981740088,1.2348433248698711,,,,
6,0.1,3.636996007984032,1.9070909805208645,1.0000087261416517,1.2113567814230919,,,,
7,0.1,3.636988023952096,1.9070888872708833,1.0000078480462387,1.1882789060473442,,,,
8,0.1,3.636979640718563,1.9070866893559304,1.0000067504218397,1.2360111847519875,,,,
9,0.1,3.636971656686627,1.9070845961012393,1.0000054881494937,1.2145222146064043,,,,
10,0.1,3.636965269461078,1.907082921495832,1.000004719811414,1.2098418679088354,3.5758882235528944,1.891001909981292,1.0000021280879756,0.2145951371639967
11,0.1,3.6369576846307385,1.9070809329000011,1.0000036221824429,1.2185338605195284,,,,
12,0.1,3.636950499001996,1.9070790489651959,1.000002634315805,1.2249701637774706,,,,
13,0.1,3.6369449101796407,1.907077583681283,1.000001865974412,1.1958999279886484,,,,
14,0.1,3.636938123752495,1.9070758044064466,1.0000009878693485,1.1834392715245485,,,,
15,0.1,3.636931337325349,1.90707402512995,0.999999890236715,1.2389344163239002,,,,
16,0.1,3.636925748502994,1.9070725598421772,0.9999991218933822,1.1896975953131914,,,,
17,0.1,3.6369189620758484,1.9070707805626534,0.9999982986673543,1.2079414166510105,,,,
18,0.1,3.636913373253493,1.9070693152723874,0.9999975852041506,1.2125935722142458,,,,
19,0.1,3.6369077844311377,1.9070678499809957,0.9999967619773156,1.1975531782954931,,,,
20,0.1,3.6369017964071855,1.9070662800246838,0.9999960485124131,1.2511723022907972,3.575825349301397,1.8909852853212257,0.9999933366132778,0.14737964048981667
21,0.1,3.636896606786427,1.9070649193948346,0.9999952252849154,1.2168555669486523,,,,
22,0.1,3.6368922155688623,1.9070637680918965,0.9999946215836835,1.221501063555479,,,,
23,0.1,3.63688622754491,1.907062198132224,0.9999937434728369,1.2210617307573557,,,,
24,0.1,3.6368826347305387,1.9070612561558002,0.9999933592973829,1.206046337261796,,,,
25,0.1,3.6368778443113774,1.9070600001865115,0.999992645831649,1.1951928846538067,,,,
26,0.1,3.636872654690619,1.907058639552182,0.999991877483473,1.2014893852174282,,,,
27,0.1,3.636868662674651,1.9070575929097293,0.9999913286624093,1.2673098873347044,,,,
28,0.1,3.636864271457086,1.9070564416023679,0.9999906700777592,1.2025703508406878,,,,
29,0.1,3.636859880239521,1.9070552902943116,0.9999901212550087,1.2284037303179502,,,,
30,0.1,3.636855489021956,1.9070541389855602,0.9999895724318365,1.1916196588426828,3.5757786926147705,1.8909729486734521,0.9999868127309053,0.14659662544727325
31,0.1,3.6368518962075846,1.9070531970051556,0.9999890784916999,1.2039257567375898,,,,
32,0.1,3.63684750499002,1.9070520456951405,0.9999884199057426,1.2010691910982132,,,,
33,0.1,3.6368439121756486,1.907051103713702,0.9999879808460783,1.2030757553875446,,,,
34,0.1,3.6368399201596806,1.9070500570671134,0.9999873771418584,1.2101825587451458,,,,
35,0.1,3.636837924151697,1.9070495337436038,0.9999871027301293,1.2194239422678947,,,,
36,0.1,3.6368339321357284,1.9070484870961537,0.9999867185492084,1.1812760941684246,,,,
37,0.1,3.636829141716567,1.9070472311184552,0.9999859501985021,1.2104489151388407,,,,
38,0.1,3.636826746506986,1.9070466031292959,0.999985730665655,1.205145550891757,,,,
39,0.1,3.6368235528942114,1.907045765810095,0.9999852916059846,1.2463422883301973,,,,
40,0.1,3.6368199600798405,1.9070448238255546,0.999984797663625,1.211879264563322,3.575743512974052,1.8909636466558664,0.9999818936256774,0.15246096067130566
41,0.1,3.6368171656686625,1.9070440911705901,0.9999843037244672,1.2156705558300018,,,,
42,0.1,3.6368139720558883,1.9070432538502866,0.9999837549027528,1.2087914943695068,,,,
43,0.1,3.6368111776447107,1.907042521194719,0.9999834804864333,1.209127850830555,,,,
44,0.1,3.63680878243513,1.9070418932040087,0.9999830963103075,1.2182754278182983,,,,
45,0.1,3.6368051896207585,1.9070409512175555,0.9999826572477215,1.219589363783598,,,,
46,0.1,3.6368035928143714,1.90704053255676,0.9999823828366007,1.2057148963212967,,,,
47,0.1,3.6368003992015967,1.9070396952348938,0.999981998656264,1.1991997305303812,,,,
48,0.1,3.6367988023952096,1.9070392765738229,0.9999818888870031,1.1841325629502535,,,,
49,0.1,3.6367952095808382,1.907038334586077,0.9999813400623248,1.197111016139388,,,,
50,0.1,3.6367928143712573,1.9070377065939879,0.9999810656468003,1.1962477155029774,3.5757158183632733,1.8909563237587677,0.99997802112156,0.14574428647756577
51,0.1,3.6367908183632736,1.9070371832670892,0.9999806265914613,1.1828545946627855,,,,
52,0.1,3.636788023952096,1.9070364506091897,0.9999802972929916,1.2226726282387972,,,,
53,0.1,3.636785628742515,1.90703582261648,0.9999799131159923,1.2171594761312008,,,,
54,0.1,3.6367840319361275,1.907035403954559,0.999979748465512,1.389409514144063,,,,
55,0.1,3.6367808383233533,1.907034566630441,0.9999792545227999,1.2115164306014776,,,,
56,0.1,3.636779241516966,1.907034147968244,0.9999790349916394,1.2046010177582502,,,,
57,0.1,3.6367780439121757,1.907033833971536,0.9999788703432374,1.208486184477806,,,,
58,0.1,3.636774850299401,1.9070329966467285,0.9999785410416412,1.1990441270172596,,,,
